City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
330,Siyabuswa,ZA,79.32,-25.11,29.06,scattered clouds,Maitishong Guesthouse & Conferencing
333,Vista Hermosa,MX,87.8,14.92,-92.27,scattered clouds,Hotel Casa Mexicana
336,Comodoro Rivadavia,AR,73.4,-45.87,-67.48,scattered clouds,Austral Hotel
337,Sunland Park,US,62.01,31.8,-106.58,clear sky,SpringHill Suites by Marriott El Paso
346,Les Cayes,HT,81.93,18.19,-73.75,overcast clouds,Villa Orphee
352,Port Hedland,AU,84.2,-20.31,118.58,overcast clouds,The Esplanade Hotel
353,Pueblo Nuevo Vinas,GT,87.8,14.23,-90.47,few clouds,
357,Finschhafen,PG,84.15,-6.6,147.85,overcast clouds,Cossam Guest House
360,Guiratinga,BR,81.66,-16.35,-53.76,broken clouds,Hotel Angra do Cerrado - Guiratinga MT
361,Pisco,PE,73.0,-13.71,-76.2,broken clouds,Hostal San Isidro Oficial
363,Sola,TZ,66.42,-3.17,33.8,overcast clouds,Peace Hotel
368,Ribas Do Rio Pardo,BR,85.57,-20.45,-53.76,broken clouds,Hotel Curaçau
370,Langsa,ID,73.62,4.47,97.97,overcast clouds,Kartika Hotel
371,Airai,TL,69.42,-8.93,125.41,overcast clouds,Juvinal Martin
372,Kununurra,AU,77.0,-15.77,128.74,scattered clouds,Hotel Kununurra
373,Puerto Del Rosario,ES,64.4,28.5,-13.86,scattered clouds,Hotel JM Puerto del Rosario
376,Pangkalanbuun,ID,74.75,-2.68,111.62,overcast clouds,Grand Kecubung Hotel
384,Auki,NG,68.32,12.18,6.51,broken clouds,
389,Corowa,AU,63.0,-36.0,146.39,overcast clouds,Statesman Motor Inn
391,Vila Franca Do Campo,PT,64.4,37.72,-25.43,scattered clouds,Pestana Bahia Praia
394,Devonport,AU,63.0,-41.18,146.36,clear sky,Quality Hotel Gateway
396,Amahai,ID,84.99,-3.31,129.0,overcast clouds,Penginapan Madina
398,Bandarbeyla,SO,78.48,9.49,50.81,overcast clouds,REER XOOSHLE GROUP
399,Palmer,AU,68.0,-34.85,139.16,clear sky,Palmer Hotel
401,Sadao,TH,73.4,6.63,100.42,few clouds,Banana Resort Sadao
404,Nicoya,CR,89.6,10.15,-85.45,scattered clouds,Las Aguilas
406,Arroyo,BO,87.8,-11.08,-66.08,broken clouds,
409,Pacific Grove,US,61.0,36.62,-121.92,clear sky,Lovers Point Inn
411,Xiamen,CN,60.8,24.46,118.07,mist,厦门马哥孛罗东方大酒店
