City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Quatre Cocos,MU,2020-01-05 09:29:05,-20.21,57.76,82.0,83,75,6.93,broken clouds,0.0,0.0
53,Lufilufi,WS,2020-01-05 09:29:05,-13.87,-171.6,80.24,78,100,8.23,overcast clouds,0.0,0.0
54,Skibbereen,IE,2020-01-05 09:29:05,51.55,-9.27,48.2,100,75,18.34,light rain,0.0,0.0
55,Butaritari,KI,2020-01-05 09:29:05,3.07,172.79,84.99,78,100,12.75,light rain,0.56,0.0
56,Port Alfred,ZA,2020-01-05 09:29:06,-33.59,26.89,75.99,86,100,5.99,overcast clouds,0.0,0.0
57,Cherskiy,RU,2020-01-05 09:29:06,68.75,161.3,-4.5,60,20,7.36,few clouds,0.0,0.0
58,Yurginskoye,RU,2020-01-05 09:29:06,56.82,67.39,20.97,93,93,7.09,overcast clouds,0.0,0.0
59,Fort Frances,CA,2020-01-05 09:29:06,48.61,-93.4,26.01,79,90,6.93,overcast clouds,0.0,0.0
60,New Norfolk,AU,2020-01-05 09:29:07,-42.78,147.06,66.99,48,20,8.05,few clouds,0.0,0.0
61,Fortuna,US,2020-01-05 09:29:07,40.6,-124.16,46.4,100,90,9.17,overcast clouds,0.0,0.0
62,Ribeira Grande,PT,2020-01-05 09:29:07,38.52,-28.7,64.4,88,75,25.28,light intensity shower rain,0.0,0.0
63,Chorozinho,BR,2020-01-05 09:29:07,-4.3,-38.5,86.0,83,40,6.93,scattered clouds,0.0,0.0
64,Souillac,FR,2020-01-05 09:29:07,45.6,-0.6,37.0,87,0,7.29,clear sky,0.0,0.0
65,Telimele,GN,2020-01-05 09:29:08,10.9,-13.03,72.03,20,15,3.04,few clouds,0.0,0.0
66,Sao Filipe,CV,2020-01-05 09:29:08,14.9,-24.5,70.86,67,33,18.52,scattered clouds,0.0,0.0
67,Vostok,RU,2020-01-05 09:29:08,46.45,135.83,-3.62,98,100,4.61,overcast clouds,0.0,0.0
68,Durant,US,2020-01-05 09:29:08,33.99,-96.37,48.99,74,1,4.7,clear sky,0.0,0.0
69,Chitipa,MW,2020-01-05 09:29:09,-9.7,33.27,77.04,69,100,2.39,light rain,1.5,0.0
70,Kawalu,ID,2020-01-05 09:29:09,-7.38,108.21,77.14,83,100,6.53,moderate rain,5.13,0.0
71,Mar Del Plata,AR,2020-01-05 09:29:09,-46.43,-67.52,55.81,42,100,22.75,overcast clouds,0.0,0.0
72,Salaya,IN,2020-01-05 09:29:09,22.31,69.6,69.89,59,0,10.09,clear sky,0.0,0.0
73,Yellowknife,CA,2020-01-05 09:25:11,62.45,-114.38,-0.4,77,90,12.75,light snow,0.0,0.0
74,Qaanaaq,GL,2020-01-05 09:29:10,77.48,-69.36,-35.63,52,0,6.46,clear sky,0.0,0.0
75,Georgetown,GY,2020-01-05 09:29:10,6.8,-58.16,68.0,100,20,4.7,few clouds,0.0,0.0
76,Crotone,IT,2020-01-05 09:29:10,39.09,17.12,51.8,76,20,10.29,few clouds,0.0,0.0
77,Hobart,AU,2020-01-05 09:19:44,-42.88,147.33,68.0,48,20,8.05,few clouds,0.0,0.0
78,Itarema,BR,2020-01-05 09:29:11,-2.92,-39.92,75.29,90,100,3.27,overcast clouds,0.0,0.0
79,Gutersloh,DE,2020-01-05 09:29:11,51.9,8.38,44.01,93,90,5.82,light rain,0.0,0.0
80,Synya,RU,2020-01-05 09:29:11,65.37,58.04,22.95,92,100,10.11,light snow,0.0,0.38
81,Canton,US,2020-01-05 09:25:06,40.8,-81.38,30.99,80,90,14.99,light snow,0.0,0.0
82,Tera,CY,2020-01-05 09:29:12,34.97,32.42,60.8,72,75,3.36,broken clouds,0.0,0.0
83,Poum,MK,2020-01-05 09:20:19,41.28,20.71,37.4,64,75,9.17,broken clouds,0.0,0.0
84,Sibolga,ID,2020-01-05 09:29:12,1.74,98.78,81.54,85,9,0.85,light rain,2.88,0.0
85,Kaitangata,NZ,2020-01-05 09:29:12,-46.28,169.85,53.01,53,17,25.99,few clouds,0.0,0.0
86,Kalmunai,LK,2020-01-05 09:21:27,7.42,81.82,82.09,77,54,9.13,broken clouds,0.0,0.0
87,La Sarre,CA,2020-01-05 09:29:13,48.8,-79.2,-1.95,98,94,4.16,overcast clouds,0.0,0.0
88,Longyearbyen,NO,2020-01-05 09:29:13,78.22,15.63,5.0,71,20,4.7,few clouds,0.0,0.0
89,Klaksvik,FO,2020-01-05 09:29:13,62.23,-6.59,46.4,81,100,12.75,overcast clouds,0.0,0.0
90,Richards Bay,ZA,2020-01-05 09:29:13,-28.77,32.06,84.27,71,0,10.89,clear sky,0.0,0.0
91,Pangai,TO,2020-01-05 09:21:19,-19.8,-174.35,79.21,74,0,10.54,clear sky,0.0,0.0
92,Puchov,SK,2020-01-05 09:29:14,49.12,18.33,36.0,59,40,10.29,scattered clouds,0.0,0.0
93,East London,ZA,2020-01-05 09:29:14,-33.02,27.91,73.4,88,75,14.99,broken clouds,0.0,0.0
94,Boa Vista,BR,2020-01-05 09:25:18,2.82,-60.67,75.2,78,5,9.17,clear sky,0.0,0.0
95,Bathsheba,BB,2020-01-05 09:29:14,13.22,-59.52,75.2,73,40,6.93,scattered clouds,0.0,0.0
96,Dongsheng,CN,2020-01-05 09:21:35,29.72,112.52,48.97,83,100,2.91,overcast clouds,0.0,0.0
97,Tasiilaq,GL,2020-01-05 09:29:15,65.61,-37.64,28.4,58,100,4.65,overcast clouds,0.0,0.0
98,Lavrentiya,RU,2020-01-05 09:29:15,65.58,-170.99,-7.47,84,100,10.16,overcast clouds,0.0,0.0
99,Phuket,TH,2020-01-05 09:29:15,7.89,98.4,91.4,52,20,3.36,few clouds,0.0,0.0
100,Lata,IN,2020-01-05 09:29:16,30.78,78.62,18.59,64,80,7.34,broken clouds,0.0,0.0
101,Hami,CN,2020-01-05 09:29:16,42.84,93.51,24.84,47,3,2.28,clear sky,0.0,0.0
102,Kahului,US,2020-01-05 09:29:16,20.89,-156.47,73.4,83,20,12.75,few clouds,0.0,0.0
103,Anadyr,RU,2020-01-05 09:20:28,64.73,177.51,-32.8,73,0,11.18,clear sky,0.0,0.0
104,Luderitz,NA,2020-01-05 09:29:17,-26.65,15.16,61.59,88,0,11.5,clear sky,0.0,0.0
105,Banff,CA,2020-01-05 09:26:41,51.18,-115.57,24.01,49,7,10.0,clear sky,0.0,0.0
106,Balabac,PH,2020-01-05 09:29:17,7.99,117.06,81.45,75,6,18.05,clear sky,0.0,0.0
107,Jasper,US,2020-01-05 09:28:07,33.83,-87.28,33.8,100,1,2.82,clear sky,0.0,0.0
108,Pevek,RU,2020-01-05 09:29:18,69.7,170.27,-6.61,72,0,4.38,clear sky,0.0,0.0
109,Svetlogorsk,RU,2020-01-05 09:20:45,53.14,59.15,26.6,73,40,6.71,scattered clouds,0.0,0.0
110,Port-Gentil,GA,2020-01-05 09:29:18,-0.72,8.78,86.0,79,40,10.29,scattered clouds,0.0,0.0
111,Grindavik,IS,2020-01-05 09:29:18,63.84,-22.43,37.4,74,75,32.21,shower rain,0.0,0.0
112,Dryden,CA,2020-01-05 09:29:19,49.79,-92.84,23.0,85,90,12.75,overcast clouds,0.0,0.0
113,Suntar,RU,2020-01-05 09:29:19,62.16,117.65,-1.07,95,100,3.74,overcast clouds,0.0,0.0
114,Lasa,CY,2020-01-05 09:29:19,34.92,32.53,60.8,72,75,3.36,broken clouds,0.0,0.0
115,Chuy,UY,2020-01-05 09:29:19,-33.69,-53.46,64.98,87,0,6.6,clear sky,0.0,0.0
116,Nouadhibou,MR,2020-01-05 09:29:19,20.93,-17.03,60.8,31,14,20.8,few clouds,0.0,0.0
117,Caravelas,BR,2020-01-05 09:29:20,-17.73,-39.27,75.18,89,100,6.46,light rain,1.0,0.0
118,Balkanabat,TM,2020-01-05 09:29:20,39.51,54.36,42.13,53,54,2.95,broken clouds,0.0,0.0
119,Ixtapa,MX,2020-01-05 09:29:20,20.71,-105.21,57.2,87,5,8.16,clear sky,0.0,0.0
120,Honningsvag,NO,2020-01-05 09:21:24,70.98,25.97,30.61,72,100,31.16,light snow,0.0,0.88
121,Nanortalik,GL,2020-01-05 09:29:20,60.14,-45.24,30.45,76,100,21.27,overcast clouds,0.0,0.0
122,Vega Baja,PR,2020-01-05 09:27:19,18.44,-66.39,75.2,94,75,6.2,broken clouds,0.0,0.0
123,Darnah,LY,2020-01-05 09:29:21,32.77,22.64,61.39,72,97,25.86,light rain,0.19,0.0
124,Saskylakh,RU,2020-01-05 09:29:21,71.97,114.09,-19.35,92,60,8.88,broken clouds,0.0,0.0
125,Clyde River,CA,2020-01-05 09:29:21,70.47,-68.59,-29.2,66,90,8.05,overcast clouds,0.0,0.0
126,Faya,SA,2020-01-05 09:21:04,18.39,42.45,66.2,68,75,16.11,broken clouds,0.0,0.0
127,Lodja,CD,2020-01-05 09:21:23,-3.52,23.6,70.36,97,100,4.16,moderate rain,3.81,0.0
128,Hovd,NO,2020-01-05 09:20:28,63.83,10.7,36.0,74,90,8.05,shower rain,0.0,0.0
129,Changji,CN,2020-01-05 09:29:22,32.07,116.17,46.51,96,100,9.28,light rain,0.88,0.0
130,Husavik,CA,2020-01-05 09:29:22,50.56,-96.99,24.01,87,100,4.0,light snow,0.0,0.38
131,Flinders,AU,2020-01-05 09:29:23,-34.58,150.85,69.01,100,71,6.93,light rain,0.19,0.0
132,Ibipeba,BR,2020-01-05 09:29:23,-11.64,-42.01,67.6,95,100,4.03,light rain,1.13,0.0
133,Zyryanka,RU,2020-01-05 09:29:23,65.73,150.89,1.31,77,35,13.42,scattered clouds,0.0,0.0
134,Dangriga,BZ,2020-01-05 09:29:23,16.97,-88.23,69.01,87,98,5.01,light rain,0.5,0.0
135,Saryg-Sep,RU,2020-01-05 09:29:24,51.49,95.55,-5.57,96,60,2.08,broken clouds,0.0,0.0
136,Severo-Kurilsk,RU,2020-01-05 09:28:48,50.68,156.12,18.23,88,100,8.72,light snow,0.0,0.88
137,Hambantota,LK,2020-01-05 09:29:24,6.12,81.12,89.6,66,20,12.75,few clouds,0.0,0.0
138,Esperance,AU,2020-01-05 09:29:23,-33.86,121.89,84.2,17,75,11.41,broken clouds,0.0,0.0
139,Elizabeth City,US,2020-01-05 09:29:24,36.3,-76.22,46.4,81,90,10.29,light rain,0.0,0.0
140,Debre Sina,ET,2020-01-05 09:29:25,9.85,39.76,79.43,39,0,8.59,clear sky,0.0,0.0
141,Lorengau,PG,2020-01-05 09:29:25,-2.02,147.27,83.98,74,100,13.91,overcast clouds,0.0,0.0
